JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
26-Jan-11,"28""  Trans Niger  Pipeline at Bodo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28 bomu bonny  jiv pix of 26 jan.pdf,Recovery of spilled volume completed on 1st February 2011.,Swamp/Water,"Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation.
Despite the occurrence of frequent re-impacting from other sources, SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area, which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.",january,21-Jan-11,118.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28 Bomu Bonny Pipeline at Bodo west JIV of 26 Jan.pdf,2011,Sabotage/Theft
24-Jan-11,Cawthorne Channel Well 21L Flowline,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Cawc 21 L JIV pix of 24 Jan 11a.pdf,Recovery of spilled volume  completed 24th January 2011. Cleanup of residual impacted area completed on 11th February 2011.,Swamp,Post Cleanup Inspection was carried out  on 20th April 2011.,january,22-Jan-11,2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Cawc 21 L JIV  of 24 Jan 11.pdf,2011,Sabotage/Theft
1-Feb-11,Egwa 1  Well 26 at Okpogbene,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Egwa_1_well_27_pic_Jan_2011.pdf,No recoverable oil was found on site. Spill impact observed as stains on vegetation by the river bank. Cleanup of residual impacted areas completed on 19th March 2011.,Swamp,"Incident site corrected to read Egwa 1 Well 26 at Okpogbene and not Egwa 1 Well 27 at Okpogbene, as erroneously captured in JIV report and photo captions. Post Cleanup Inspection was carried out on 7th April 2011.",january,28-Jan-11,2.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Egwa_1_W_27_JIV_report.pdf,2011,Sabotage/Theft
4-Feb-11,"24"" Nembe Creek Trunkline (old NCTL) Pipeline at Tora-Twenikiri",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/24_NCTL_at_Tora_Twenikiri_JIV_pictures_4_feb.pdf,No recoverable oil was found on site. Spill impact observed as sheen and stains on vegetation/soil. Cleanup completed on 17th February 2011,Swamp,Post Cleanup Inspection earlier planned for April 2011 will now hold in May 2011 due to movement restrictions associated with the April 2011 general elections. Post Cleanup Inspection completed on 26th May  2011.,january,28-Jan-11,1.08,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/24_NCTL_at_Tora_Twenikiri_JIV_report_4_feb.pdf,2011,Sabotage/Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
12-Feb-11,"20"" KoloCreek-Rumuekpe Pipeline at Ogbogolo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/20_Kolocreek_Rumuekpe_Pipeline_at_Ogbogolo_jiv_pix_12_feb.pdf,Recovery of spilled volume completed on 27th June 2011. Cleanup of residual impacted area commenced on 15th September 2011 and was completed on 14th November 2011.,Swamp / Land,A second sabotage spill incident occurred at the site on 7th March 2011. The area is continually being impacted by crude oil theft activities.  Authorities have deployed a security outpost to deter saboteurs. Pre cleanup assessment of the area completed on 27th June 2011. Delay  in the commencement of clean up of impacted areas was due to contracting issues. Post cleanup inspection completed on  22nd November 2011.,february,9-Feb-11,4387.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/20_KOCR-RUM_at_ogbogolo_12_Feb_2011_JIV.pdf,2011,Sabotage/ Theft
11-Feb-11,"28"" Bomu-Bonny Pipeline at BodoWest",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28_bomu_bodo_jiv_pix_of_11_feb.pdf,Recovery  of spilled volume commenced on 11th February 2011 and completed on 25th February 2011.,Swamp / Water,"Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation.
Despite the occurrence of frequent re-impacting from other sources, SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area, which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.",february,10-Feb-11,100.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28_Bomu-Bonny_at_Bodo_feb_JIV.pdf,2011,Sabotage/ Theft
14-Feb-11,Imo River Well 37L Flowline at Igiriukwu Owaza,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/621008_Imo_River_Well_37L_at_Owaza_14-February_pix-2011.pdf,No recoverable oil was found on site. Spill impact observed as stains on vegetation at the location. Cleanup completed on 25th  March 2011.,Land,Post Cleanup Inspection completed on 13th April 2011.,february,10-Feb-11,0.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Imo_river_37_L_feb_JIV_report.pdf,2011,Sabotage/ Theft
16-Feb-11,"8"" Obigbo North Pipeline at Obigbo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/8_Inch_Obigbo-North_Pipeline_at_Obigbo_pix_16_February2011.pdf,No recoverable oil was found on site. Spill impact observed as stains on vegetation at the location. Cleanup completed on 23rd  March 2011.,Land,Post Cleanup Inspection completed on 12th April 2011.,february,15-Feb-11,0.8,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/8_obigbo_North_dl_at_Umuare_16_Feb_JIV.pdf,2011,Sabotage/ Theft
4-Mar-11,"18"" Soku-Ekulama Pipeline at Kirikakiri",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_fotos.pdf,No recoverable oil was found on site. Cleanup completed on 6th March 2011.,Swamp,JIV started 28th February 2011 but discontinued for safety reasons and completed on 4th March 2011. Post Cleanup Inspection was completed on 6th May 2011.,february,23-Feb-11,1.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_JIV.pdf,2011,Sabotage/ Theft
1-Mar-11,Kolo Creek 3T Flowline at Kolo Creek,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_ 1-March-2011_ fotos.pdf,Cleanup of residual impacted areas completed on 15th March 2011.,Land,JIV started on 28th February 2011 but was discontinued due to Security issues and completed on 1st March 2011. Post Cleanup Inspection carried out on 29th March 2011.,february,24-Feb-11,0.16,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_1-March-2011_JIV.pdf,2011,Sabotage/ Theft
26-Feb-11,"28"" Bomu-Bonny Pipeline at BodoWest",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28_inch_Bomu-Bonny_at_BodoWest_Pic.pdf,Recovery of spilled volume commenced on 26th February 2011 and was completed on 14th March 2011.,Swamp,"Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation.
Despite the occurrence of frequent re-impacting from other sources, SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area, which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.",february,25-Feb-11,77,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28_inch_Bomu-Bonny_at_Bodo_West_JIV_Report.pdf,2011,Sabotage/ Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
4-Mar-11,"16"" Egbema-Assa Pipeline at Assa",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/629874_16_Inch_Egbema_Assa_pipeline_at_Assa_04-March-2011_fotos.pdf,No recoverable oil was found on site. Cleanup of residual impacted areas completed on 4th March 2011.,Land,Post Cleanup Inspection was carried out on 29th April 2011.,march,2-Mar-11,0.75,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/629874_16_Inch_Egbema_Assa_pipeline_at_Assa_04-March-2011_JIV.pdf,2011,Sabotage/ Theft
10-Mar-11,"28"" Trans Focardos Pipeline at Chanomi",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/631575_28Inch_TFP_RoW_Spill_at_Chanomi_Photos.pdf,No recoverable oil was found on site. Spilled oil absorbed into the soil. Cleanup of residual impacted areas completed on 15th May 2011.,Swamp,Post Cleanup Inspection was carried out on 18th May 2011.,march,6-Mar-11,16.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/631575_28Inch_TFP_RoW_Spill_at_Chanomi_JIV.pdf,2011,Sabotage/ Theft
10-Mar-11,"24""/28"" Trans Niger Pipeline at BodoWest",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/631995_24_and_28_Bomu-Bonny_Pipeline_Bodo_West_Photos.pdf,Recovery of spilled volume commenced on 10th March 2011 and was completed on 23rd March 2011.,Swamp,"Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation.
Despite the occurrence of frequent re-impacting from other sources, SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area, which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.",march,7-Mar-11,162.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/631995_24_and_28_Bomu-Bonny_Pipeline_Bodo_West_JIV.pdf,2011,Sabotage/ Theft
12-Mar-11,"20"" KoloCreek-Rumuekpe Pipeline at Ogbogolo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632299_20_Kolocreek-Rumuekpe_Pipeline_at_Ogbogolo_Photos.pdf,Recovery of spilled volume commenced on 12th March 2011 and was completed on 19th March 2011. Cleanup of residual impacted area commenced on 15th September 2011 and was completed on 14th November 2011.,Land,Area is continually being impacted by crude oil theft activities. Authorities have deployed a security outpost to deter saboteurs.  Pre cleanup assessment of the area completed on 27th June 2011. Delay in the commencement of clean up of impacted areas was due to contracting issues. Post Cleanup Inspection completed on  22nd November 2011.,march,7-Mar-11,67.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632299_20_Kolocreek-Rumuekpe_Pipeline_at_Ogbogolo_JIV.pdf,2011,Sabotage/ Theft
11-Mar-11,"Batan PD meter-1, ½” drain line",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632853_Batan_Flow_Station_Photos.pdf,No recoverable oil was found on site.,Swamp,JIV report confirms no further action required. Closed.,march,9-Mar-11,3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632853_Batan_Flow_Station_JIV.pdf,2011,Operational
10-Mar-11,"24"" Bomu-Bonny Pipeline at Moghor",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632811_24_Bomu-Bonny_Pipeline_at_Moghor_Photos.pdf,Recovery / mopping of spilled volume completed on 10th March 2011.  Cleanup of residual impacted areas completed on 8th April 2011.,Land,"This spill incident involved 2 points and was followed by a fire which burnt itself out. Close up picture shows produced water spray from one of the spill points, post fire incident. Initial volume of spill estimated during the JIV of 11Mar2011 was 0.18bbls. However, during repair works, an illegal buried pipe of circa 1km length was found connecting the pipeline to a ditch from which 55bbls of oil was recovered, resulting in a new estimated spilled volume of 78bbls which was communicated to the Regulators. Post Cleanup Inspection completed on 15th July 2011.",march,9-Mar-11,78,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/632811_24_Bomu-Bonny_Pipeline_at_Moghor_JIV.pdf,2011,Sabotage/ Theft
11-Mar-11,"24"" Bomu-Bonny Pipeline at K-Dere",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/633111_24_Bomu-Bonny_Pipeline_at_K-Dere_Photos.pdf,Recovery of spilled volume commenced on 11th March 2011 and was completed on 23rd March 2011. Cleanup of residual impacted area re-commenced on 28th June 2011 and completed on 13th July 2011.,Land,This was a combination of a spill and fire incidents. Cleanup of residual impacted area which was planned for completion in May 2011 is now delayed due to continued inter-community violence between K-Dere and B-Dere. Post Cleanup inspection completed on 25th August 2011.,march,10-Mar-11,144.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/633111_24_Bomu-Bonny_Pipeline_at_K-Dere_JIV.pdf,2011,Sabotage/ Theft
15-Mar-11,Imo River1 Well 59T Flowline at ImoRiver 1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/634250_ImoRiver_1_Well_59T_Flowline_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 15th March 2011,Land,Post Cleanup Inspection completed on 13th April 2011.,march,12-Mar-11,0.22,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/634250_ImoRiver_1_Well_59T_Flowline_JIV.pdf,2011,Sabotage/ Theft
18-Mar-11,Opukushi Well 34T flowline at Agbidiama/Egbemor-Angalabiri,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/635318_Opukushi_FS_at_Agbidiama_Photos.pdf,"Containment in place, recovery stalled by industrial action in the Western Operations. Recovery of spilled volume  re-commenced on 30th March 2011 and was completed on 3rd May 2011",Swamp,Post Cleanup Inspection completed on 20th July 2011.,march,15-Mar-11,134.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/635318_Opukushi_FS_at_Agbidiama_JIV.pdf,2011,Operational
28-Mar-11,Otumara Well 44S Wellhead flowline riser at Otumara,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/636964_Otumara_W44SS_Riser_Wellhead_Photos.pdf,Containment effected  on 21st March 2011.  Recovery of spilled volume commenced on 29th March 2011. Cleanup of residual impacted area completed on 1st April 2011.,Swamp,JIV delayed due to industrial action 21 - 24 March 2011. Post Cleanup Inspection completed on 13th April 2011.,march,21-Mar-11,1.8,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/636964_Otumara_W44SS_Riser_Wellhead_JIV.pdf,2011,Operational
25-Mar-11,"8"" Obigbo North Pipeline at Umuare",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/638020_8Inch_Obigbo_North_Delivery_Line_Photos.pdf,Recovery of spilled volume completed on 25th March 2011.  Cleanup of residual impacted area completed on 7th April 2011.,Land,Post Cleanup Inspection completed on 12th April  2011.,march,22-Mar-11,1.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/638020_8Inch_Obigbo_North_Delivery_Line_JIV.pdf,2011,Sabotage/ Theft
25-Mar-11,Umuechem Well 22T Flowline located at Umuechem,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/638282_Umuechem_Well_22T_Photos.pdf,Recovery of spilled volume commenced on 25th March 2011 and was completed on 29th March 2011.Cleanup completed on 30th March 2011.,Land,Post Cleanup Inspection completed on 12th April  2011.,march,22-Mar-11,5.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/638282_Umuechem_Well_22T_JIV.pdf,2011,Operational
29-Mar-11,"28"" and 24""  Bomu-Bonny Pipelines at  BodoWest",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/639568_24_28in_BOMU-BONNY_PIPELINE_AT_BODOWEST_Photos.pdf,Recovery of spilled volume commenced on 29th March 2011 and completed on 8th April 2011.,Swamp,"JIV Commenced on 29th March 2011 and ended on 5th April 2011, a duration of 7 days covering nine (9) bunkering points on two pipelines located in a very difficult terrain. During the JIV, a leak was also observed on a third party pipeline and reported to the operator.  SPDC will also clean up the oil spilled from this incident. Aim is to initiate cleanup in July 2011. Area is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation. Pre-cleanup assessment of the site commenced on 19th April and was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area, which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.",march,27-Mar-11,165.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/639568_24_28in_BOMU-BONNY_PIPELINE_AT_BODOWEST_JIV.pdf,2011,Sabotage/ Theft
30-Mar-11,"6"" Imo River Well 59T Flowline at Igiriukwa",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/639812_6in_ImoRiver_W59T_at_Igiriukwu_Photos.pdf,No recoverable oil was found on site. Cleanup commenced on 4th May 2011 and was completed on 16th May 2011.,Land,Post cleanup inspection completed on 2nd June 2011.,march,28-Mar-11,2.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/639812_6in_ImoRiver_W59T_at_Igiriukwu_JIV.pdf,2011,Sabotage/ Theft
4-Apr-11,24” Cawthorne Channel – Bonny Block Valve Staion at Kalibiama & 24” Cawthorne Channel – Bonny pipeline at kalibiama,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/641066_24in_Cawthorne-Bonny_Alakiri-Bonny_Pipeline_at_Kalibiama_Photos.pdf,"Recovery of spilled volume commenced on 4th April 2011. However, due to tidal overflow, no oil was recovered. Cleanup of residual impact was completed on 8th July 2011.",Swamp,The Spill location was at two distinct points along the same right of way with estimated volumes of 0.64 barrels and 63.72 barrels respectively (total of 64.36 barrels). The JIVs were carried out on two different occasions between 1st - 8th April 2011. Post Cleanup inspection completed on 19th August 2011.,march,30-Mar-11,64.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/641066_24in_Cawthorne-Bonny_Alakiri-Bonny_Pipeline_at_Kalibiama_JIV.pdf,2011,Sabotage/ Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
6-Apr-11,24''UPS-Rapele Pipeline at Ugbokodo,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/644198_24in_UPS-Rapele_trunkline_at_Ugbokodo_Photos.pdf,No recoverable oil was found on site. Oil sheen within earth bund wall around crude theft point was mopped up with absorbent materials.,Swamp,JIV recommends no further cleanup action required. Closed.,april,4-Apr-11,0.02,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/644198_24in_UPS-Rapele_trunkline_at_Ugbokodo_JIV.pdf,2011,Sabotage/Theft
21-Apr-11,Uzere Well 19S,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/644515_Uzere_Well_19S_flowline_at_Uzere_Photos .pdf,Recovery of spilled volume completed on  20th July 2011. Cleanup of residual impacted area completed on 14th September 2011.,Land,"The JIV, which was completed on 21 April 2011, was postponed on three separate earlier occasions (7th, 14th and 19th April) due to community issues. Recovery of spilled volume commenced on 29th April 2011  but was suspended on 30th April due to new community demands. Recovery re-commenced on 12th May 2011 but was again suspended on 24th May 2011 following threats of violence by an individual from the community. Issue was later resolved and recovery re-commenced on 25th May 2011. Delay in the clean up of residual impacted areas was due to the cumulative impact of work disruptions and prevailing weather conditions. Post Cleanup Inspection completed on 16th September 2011.",april,4-Apr-11,130.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/644515_Uzere_Well_19S_flowline_at_Uzere_JIV.pdf,2011,Sabotage/Theft
12-Apr-11,"8"" Isimiri Pipeline at Umuaghala",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/645891_8in_Isimiri_Pipeline_at_Umuaghala_Photos.pdf,Recovery of spilled volume commenced on 12th April 2011 . Recovery was suspended on 26th April 2011 due to  security issues.,Land,"JIV was to have been conducted on 9th April 2011, but re-scheduled to 12th April 2011 and completed on 13th April 2011, because of national elections held on 9th April. Cleanup of residual impacted area completed on 25th June 2011. Site re-impacted by 8"" Isimiri Pipeline at Umuala  incident of 26th June 2011. Closed, re-impact to be worked as part of the new  8"" Isimiri Pipeline incident at Umuaghala, (see incident dated 26th June 2011).",april,7-Apr-11,204,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/645891_8in_Isimiri_Delivery_Line_at_Umuaghala_JIV.pdf,2011,Sabotage/Theft
11-Apr-11,Adibawa  North East Well 4L Flowline at Biseni,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/646744_Adibawa_NE_Well4L_flowline_at_Biseni_Photos.pdf,Recovery of spilled volume commenced on 11th April 2011 and was completed on 19th April 2011. Cleanup of residual impacted area commenced on 22nd April 2011 and completed on 13th May 2011.,Land,"Initial volume of spill estimated during the JIV of 11th April was 149.4 bbls. However, 300 bbls of oil was subsequently recovered, resulting in a restated volume of 429 bbls and this has been communicated to the regulators. Post cleanup inspection completed on 3rd June 2011.",april,9-Apr-11,429,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/646744_Adibawa_NE_Well4L_flowline_at_Biseni_JIV.pdf,2011,Sabotage/Theft
